epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1287.49,1.13001,0.93271,1.03118,0.9883,0.99598,0.995,0.63582,1.2859,0.79602,1.07681,0.00028912,0.00028912,0.00028912
44,1318.88,1.1369,0.94912,1.04168,0.98738,0.99195,0.995,0.6293,1.25645,0.7977,1.04002,0.00028648,0.00028648,0.00028648
45,1351.32,1.14041,0.90258,1.04755,0.97899,0.99233,0.995,0.6465,1.18619,0.79919,1.0216,0.00028384,0.00028384,0.00028384
46,1384.67,1.12924,0.95554,1.0416,0.97475,0.95996,0.98581,0.63335,1.26722,0.80048,1.06957,0.0002812,0.0002812,0.0002812
47,1415.02,1.14328,0.93536,1.03056,0.96712,0.95909,0.98679,0.64332,1.24375,0.8304,1.08491,0.00027856,0.00027856,0.00027856
48,1445.63,1.12142,0.93205,1.02954,0.96208,0.98765,0.98592,0.62273,1.29836,0.86411,1.11323,0.00027592,0.00027592,0.00027592
49,1477.22,1.12745,0.90148,1.03304,0.9707,0.99123,0.98481,0.59939,1.31192,0.8678,1.12608,0.00027328,0.00027328,0.00027328
50,1509.76,1.11108,0.91433,1.04,0.98001,0.99015,0.98415,0.63219,1.21964,0.79014,1.101,0.00027064,0.00027064,0.00027064
51,1541.84,1.06922,0.91562,1.01367,0.96506,0.99123,0.98462,0.64762,1.22722,0.77464,1.11758,0.000268,0.000268,0.000268
52,1577.84,1.08269,0.89369,1.01609,0.98034,0.99879,0.995,0.65768,1.24969,0.77802,1.12021,0.00026536,0.00026536,0.00026536
53,1620.87,1.13196,0.96806,1.03319,0.97282,0.99944,0.995,0.64397,1.28177,0.79421,1.12407,0.00026272,0.00026272,0.00026272
54,1659.05,1.10115,0.93534,1.03042,0.98259,1,0.995,0.66248,1.24229,0.78564,1.13767,0.00026008,0.00026008,0.00026008
