epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,1248.01,1.23991,1.09094,1.09018,0.97633,0.99598,0.98952,0.60052,1.28096,0.87795,1.09367,0.00026536,0.00026536,0.00026536
36,1280.86,1.22399,1.02718,1.06814,0.97768,0.99812,0.99295,0.61556,1.27697,0.87326,1.09085,0.0002614,0.0002614,0.0002614
37,1312.54,1.18096,1.03322,1.06114,0.97764,0.99697,0.99262,0.6104,1.28149,0.87312,1.09004,0.00025744,0.00025744,0.00025744
38,1350.45,1.13542,1.03697,1.0564,0.9824,0.99957,0.99375,0.6359,1.25679,0.83686,1.09222,0.00025348,0.00025348,0.00025348
39,1393.68,1.18434,1.00184,1.05483,0.97797,0.99645,0.99375,0.64479,1.25068,0.83536,1.10015,0.00024952,0.00024952,0.00024952
40,1438.04,1.19392,1.01425,1.06927,0.98043,0.9898,0.99417,0.62365,1.2662,0.82786,1.09924,0.00024556,0.00024556,0.00024556
41,1473.75,1.17401,1.01529,1.06635,0.98406,0.99017,0.99458,0.62454,1.26787,0.81661,1.09097,0.0002416,0.0002416,0.0002416
42,1511.53,1.11033,0.96797,1.03232,0.98309,0.9946,0.99458,0.63156,1.2155,0.79225,1.0626,0.00023764,0.00023764,0.00023764
43,1549.9,1.12666,0.94087,1.03128,0.98433,0.99903,0.99417,0.62483,1.1855,0.7855,1.04089,0.00023368,0.00023368,0.00023368
44,1587.3,1.15588,0.96748,1.0444,0.98497,0.99895,0.99375,0.62161,1.18637,0.78118,1.03783,0.00022972,0.00022972,0.00022972
45,1626.49,1.15382,0.92085,1.05003,0.99,0.99998,0.995,0.63136,1.17405,0.76708,1.02733,0.00022576,0.00022576,0.00022576
46,1671.38,1.14145,0.97022,1.0417,0.98801,1,0.995,0.63764,1.22259,0.77187,1.05527,0.0002218,0.0002218,0.0002218
47,1712.54,1.14239,0.94098,1.03293,0.98738,0.99997,0.995,0.64069,1.21349,0.78732,1.05583,0.00021784,0.00021784,0.00021784
48,1759.32,1.12842,0.94879,1.03236,0.98817,0.99691,0.995,0.63297,1.24206,0.80114,1.0618,0.00021388,0.00021388,0.00021388
49,1797.74,1.1399,0.90908,1.03062,0.98925,0.9984,0.995,0.61763,1.27607,0.80457,1.07009,0.00020992,0.00020992,0.00020992
